Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Gazzilli Margherita,Commercialista,,080 679511,"Via Don Domenico Parente, 8",Casamassima,,,,,,,,,,,
Paghe Service Societa Cooperativa,Servizio di assistenza fiscale,,080 653 0832,"Via Rivoli, 60",Casamassima,,,,,,,,,,,
Studio Giorgio,Commercialista,,080 307 2202,"Via Michelangelo, 4",Cassano delle Murge,,,,,,,,,,,
Contursi Dr. Angelantonio,Commercialista abilitato all'esercizio della professione,,080 772006,Via Grumo,Cassano delle Murge,,,,,,,,,,,
Dr. Cassano Giandonato- Studio Commercialista,Commercialista abilitato all'esercizio della professione,,080 574 3806,"Corso della Carboneria, 21",Bari,,,,,,,,,,,
Di Donna Concetta,Commercialista abilitato all'esercizio della professione,,080 453 7014,"Via Don Giovanni Minzoni, 4",Casamassima,,,,,,,,,,,
dott. Francesco Ivan Ciccimarra Commercialista Revisore Contabile,Commercialista abilitato all'esercizio della professione,,099 593 5572,"Via C. Battisti, 21",Fragagnano,,,,,,,,,,,
Pagliara Gilberto,Commercialista abilitato all'esercizio della professione,,099 956 1945,"Via Roma, 28",Fragagnano,,,,,,,,,,,
Arganese Dr. Quirico - Studio Commercialisti,Commercialista abilitato all'esercizio della professione,http://www.studioarganese.it,080 776297,"Via Padre Pio, 8",Cassano delle Murge,,info@studioarganese.it,http,Shopify,No,Cogent Communications,57,82,100.00,Sì,No
Catucci Dr. Vito,Commercialista abilitato all'esercizio della professione,,099 829 4280,"Via Gigli, 3",Ginosa,,,,,,,,,,,
Cazzetta Luigi,Commercialista abilitato all'esercizio della professione,,099 824 4354,"Via Gigli, 15",Ginosa,,,,,,,,,,,
Petrone Angelo,Consulente,,080 763782,"Via Antonio Gramsci, 41",Cassano delle Murge,,,,,,,,,,,
Studio commerciale e revisore contabile - Dott.ssa Carmela Paoletta,Commercialista abilitato all'esercizio della professione,,0881 317067,"Via Giuseppe Mirabella, 92",Accadia,,,,,,,,,,,
GIGANTE Studio Commerciale di Rag. Domenico e Mauro Gigante,Commercialista abilitato all'esercizio della professione,,099 829 4224,"Via Padre D. Tuseo, 17",Ginosa,,,,,,,,,,,
Studio Associato Rag. Celestino Colapinto,Commercialista,,080 300 6796,"Via Diego Laudati, 4",Cassano delle Murge,,,,,,,,,,,
