Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Iascone Vincenzo,Medico,,0885 650125,"Via Fontane, 4",Ascoli Satriano,,,,,,,,,,,
Casa Di Riposo,Casa di riposo,,0881 558191,"Via Montetto, Casalnuovo Monterotaro, FG 71033",Casalnuovo Monterotaro,,,,,,,,,,,
Labmed - Laboratorio Medico,Laboratorio medico,http://www.labmedascolisatriano.it,0885 662645,"Via Filippo Turati, 10",Ascoli Satriano,,,https,WordPress,No,Aruba S.p.A.,94,100,100.00,Sì,No
Centro medico San Marco d'Eca,Centro medico,,350 077 8054,"Via Monte Castro, snc",Bovino,,,,,,,,,,,
Poliambulatorio e Guardia Medica Carlantino - ASL FG - DSS 58 Lucera,Servizi medici locali,,0881 552501,"Via Polonia, 1",Carlantino,,,,,,,,,,,
Fondazione Centri Di Riabilitazione Padre Pio - O,Ospedale privato,,0884 852007,Via G. Marconi,Cagnano Varano,,,,,,,,,,,
Studio Medico Padre Pio,Centro visite,,377 092 4496,"Via Avellino, 24",Cagnano Varano,,,,,,,,,,,
Clinica Privata Leonardo De Luca - Casa di Cura,Ospedale privato,https://www.clinicadeluca.it,0881 559053,Contrada Poggio Brecciolosa,Castelnuovo della Daunia,,clinicadeluca@libero.it,https,WordPress,Sì,IT.Gate S.p.A.,61,94,92.00,Sì,No
ECOGRAFIA - ECOCOLOR-DOPPLER VASCOLARE Dr. De Carolis Emmanuele,Medico,,0885 662313,"Via Ruggiero Bonghi, 25",Ascoli Satriano,,,,,,,,,,,
"ApuliaSalus - Studio di Fisioterapia, Posturologia e tecniche Osteopatiche",Fisioterapista,,320 655 5703,"Via G. Rossini, 17",Cagnano Varano,,,,,,,,,,,
Laboratorio Analisi Cliniche Aquilano S.r.l.,Laboratorio medico,,0884 80270,"Corso Pietro Giannone, 164",Cagnano Varano,,,,,,,,,,,
Medcenter s.r.l. -Studio Medico Polispecialistico,Studio medico associato,http://medcentersalute.it,0967 530337,Via del Progresso,Satriano,,,https,ASP.NET,No,Tiscali Italia SpA,70,97,92.00,Sì,No
Clinica San Francesco,Ospedale,https://www.clinicasanfrancesco.com,0836 562047,"Piazza Cesari Fortunato, 4",Galatina,,clsanfr@clinicasanfrancesco.com,https,WordPress,No,Serverplan S.r.l.,35,56,77.00,Sì,No
ASL FG,Servizi medici locali,,0884 853490,"Via Dante Alighieri, 27",Cagnano Varano,,,,,,,,,,,
Guardia Medica - Servizio di Continuità Assistenziale,Medico,,0885 651853,"Via Stazione, 17",Ascoli Satriano,,,,,,,,,,,
Centro Anna Rita Buonincontro - Servizi ambulatoriali,Centro di riabilitazione,https://www.centroaries.it,081 522 7676,"Via Napoli, 159",Casalnuovo di Napoli,,info@centroaries.it,https,React,Sì,Aruba S.p.A. Network,55,72,92.00,Sì,No
Casa Di Riposo Anna Maria Zirillo,Casa di riposo,,0882 689477,"Via Papa Giovanni XXIII, 4",Chieuti,,,,,,,,,,,
Casa Di Riposo San Giuseppe R.S.S.A. Community Care Srl,Ambulatorio di zona,,0883 881058,"Via Santa Lucia, 29",Canosa di Puglia,,,,,,,,,,,
Ippolito Dr. Battista Giovanni,Chirurgo ortopedico,,0885 650185,"Rampa Torre Vecchia, 5",Ascoli Satriano,,,,,,,,,,,
Veramedica - Centro prevenzione e salute | Casalnuovo di Napoli,Centro medico,https://veramedica.it,081 073 8178,"Viale dei Tigli, 13",Casalnuovo di Napoli,,info@progsalute.com,https,WordPress,No,Google LLC,51,86,92.00,Sì,No
Studio Medico Di Muzio - Aspromonte - Carrillo Tiso E Valvano,Medico di famiglia,,0885 651974,Via Fontane,Ascoli Satriano,,,,,,,,,,,
Casa di Cura Villa Angela - Convenzionato S.S.N.R.,Radiologo,http://www.villaangela.it,081 246 1911,"Via Alessandro Manzoni, 141/C",Napoli,,amministrazione@villaangela.it,https,Joomla,No,IONOS SE,57,75,83.00,Sì,No
Studio Medico Associato Dott. Chir. Nicola D'Apolito,Medico di famiglia,,0884 80480,"Via Giardinetto, 22",Cagnano Varano,,,,,,,,,,,
Casa di Cura Villa Igea Prof. Brodetti,Casa di cura,http://www.villaigea.net,0881 742958,"Via Vittime Civili, 112",Foggia,,info@villaigea.net,http,Drupal,Sì,SEEWEB s.r.l.,65,99,85.00,Sì,No
Villa Julie Srl,Clinica medica,,0825 449373,"Contrada Pozzillo, 18",Mirabella Eclano,,,,,,,,,,,
Clinica del Sale Potenza,Clinica specializzata,,320 876 9357,"Via Adolfo Consolini, 45/A",Potenza,,,,,,,,,,,
Casa di Cura Santa Rita,Clinica medica,https://www.clinicasantarita.eu,0825 629111,"Via Appia, snc",Atripalda,,,https,Joomla,Sì,Aruba S.p.A. Network,73,96,85.00,Sì,No
Meridiana Hospital S.R.L.,Ospedale,,0881 611931,"Km. 2.500 Rione Camporeale, Foggia, FG 71122, Via Camporeale",Foggia,,,,,,,,,,,
Centro Clinico VILLA BEATRICE,Centro diagnostico,,0971 993331,"Via Appia, 43",Baragiano,,,,,,,,,,,
Dama Salus S.r.l.,Ospedale privato,http://damasalus.it,0883 482792,"Via Postumia, 5/7",Trani,,info@damasalus.it,https,WordPress,Sì,Server Plan S.r.l.,63,80,77.00,Sì,No
San Francesco Hospital srl,Ospedale privato,http://www.sanfrancescohospital.it,0881 177 0111,"Viale degli Aviatori, 128",Foggia,,info@sanfrancescohospital.it,https,Drupal,Sì,Aruba S.p.A.,57,68,92.00,Sì,No
Casa di Cura Villa Maria,Ospedale privato,http://www.casadicuravillamaria.it,0825 407301,"Località, Contrada Pozzillo",Mirabella Eclano,,info@casadicuravillamaria.it,https,React,Sì,Hetzner Online GmbH,65,92,92.00,Sì,No
Casa di Cura Villa Esther,Clinica medica,http://www.villaesther.com,0825 772111,"Via dei Due Principati, 169",Avellino,,info@villaesther.com,http,ASP.NET,No,Aruba S.p.A. Network,98,100,92.00,Sì,Sì
Casa Di Cura Malzoni Villa Platani Spa,Ospedale privato,http://www.malzoni.it,0825 796111,"Via Errico Carmelo, 2",Avellino,,info@malzoni.org,http,WordPress,Sì,Aruba S.p.A.,56,80,100.00,Sì,No
Casa di Cura Monte Imperatore,Casa di cura,,080 497 8616,"Strada, Strada Provinciale per Castellaneta, Km. 10",Noci,,,,,,,,,,,
