Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
STUPOR MUNDI wellness & spa,Centro benessere,,0881 549765,Via Vittorio Veneto,Lucera,,,,,,,,,,,
"Centro Riabilitazione ""Leonardo De Luca""",Centro di riabilitazione,https://clinicadeluca.it/centro-di-riabilitazione-l-de-luca/,0881 559724,"poggio, Contrada Brecciolosa",Castelnuovo della Daunia,,,https,WordPress,Sì,IT.Gate S.p.A.,73,98,83.00,No - Pagina Non Trovata (404),No
Face Spa,Centro estetico,http://www.facespafg.it/,0881 725274,"Via della Repubblica, 25",Foggia,,info@facespafg.it,http,ASP.NET,Sì,Aruba S.p.A. Network,67,89,91.00,Sì,No
Hotel Federico II,Hotel,,0881 201421,"Piazza del Popolo, 28",Lucera,,,,,,,,,,,
"Clinica Privata ""Leonardo De Luca"" - Casa di Cura",Ospedale privato,https://www.clinicadeluca.it/,0881 559053,Contrada Poggio Brecciolosa,Castelnuovo della Daunia,,clinicadeluca@libero.it,https,WordPress,Sì,IT.Gate S.p.A.,68,77,92.00,Sì,No
Estetica E Benessere di Marianna Barbaro,Centro estetico,,339 834 7177,"Via Indipendenza, 19",Lucera,,,,,,,,,,,
Ad Maiora,Ristorante,,348 800 7949,Contrada Crocella,Castelnuovo della Daunia,,,,,,,,,,,
Clinica Del Sale,Centro benessere,,0881 514775,"Via Indipendenza, 13/A",Lucera,,,,,,,,,,,
La Sorgente Del Benessere Di Latino Loredana E Valentina,Centro estetico,,0884 559493,"Corso Matino, 107",Mattinata,,,,,,,,,,,
La Locanda Del Carrubo,Hotel,https://www.lalocandadelcarrubo.it/,0884 550276,SP53 Km. 4 Località Montelci,Mattinata,,info@lalocandadelcarrubo.it,https,WordPress,Sì,Leaseweb Deutschland GmbH,59,80,77.00,Sì,No
Estetista De Fantis Maria Rosaria,Centro estetico,,0881 520986,"Palazzo Follieri, Via S. Domenico, 105",Lucera,,,,,,,,,,,
Estetica Genny Di Apicella Genoveffa,Centro estetico,,0881 522060,Via Alfonso La Cava,Lucera,,,,,,,,,,,
La Beautè di Luana Di Carlo Lucera,Centro estetico,,0881 202288,"Via Michele Ardito, 9",Lucera,,,,,,,,,,,
Estetica Sunflower,Centro estetico,,388 956 0748,"Via Giantommaso Giordani, 15",Mattinata,,,,,,,,,,,
Terme di Castelnuovo della Daunia,Terme,http://www.termedicastelnuovo.com/,0881 559766,Contrada Crocella,Castelnuovo della Daunia,,info@termedicastelnuovo.it,http,WordPress,Sì,Aruba S.p.A.,45,38,92.00,Sì,No
HB-Health &Beauty di Luigia de Vito,Centro benessere,https://www.benesserehb.it/,0881 636369,"Via Lecce, 2",Foggia,,,https,Svelte,No,Aruba S.p.A. Network,54,72,92.00,Sì,No
"In Forma Cerignola - Centro Estetico Cerignola, Centro Dimagrimento Cerignola",Centro estetico,,0885 425510,"Viale di Levante, 139",Cerignola,,,,,,,,,,,
Caterina Viola Estetica,Centro estetico,,348 781 5443,"Via Pasquale Ferrante, 15",Lucera,,,,,,,,,,,
L'Oasi del Benessere: Centro Estetico - Solarium - Centro Benessere,Centro estetico,,0882 383323,"Via Palmiro Togliatti, 21",Torremaggiore,,,,,,,,,,,
maccorgodimè centro benessere,Centro benessere,,0885 091430,"Via Giovanni Falcone, 26",Cerignola,,,,,,,,,,,
Estetyc di Calmo Alessia,Centro estetico,,327 546 6748,"Via Ettore Cavalli, 16",Lucera,,,,,,,,,,,
Ganesha Centro Estetica E Benessere,Centro estetico,,324 999 8403,"Via S. Francesco, 31",Cerignola,,,,,,,,,,,
MAD Estetica - Mademoiselle (Centro estetico | SPA | Solarium),Centro estetico,,345 874 2676,"Viale Russia, 15",Cerignola,,,,,,,,,,,
